billId,bar,drinker,date,time
10,"Holiday Cocktail Lounge","Jose Buck",2/2/2018,21:58:00
100,"The Dead Rabbit","Josiah Compton",4/10/2018,21:58:00
1000,"Connolly's Bar","Kimberly Coffey",11/8/2017,22:58:00
10000,"The Honeywell","Valeria Keith",2/4/2018,23:58:00
10001,Mayahuel,"Valeria Zamora",11/19/2017,23:58:00
10002,Mona's,"Valeria Zamora",10/8/2018,21:58:00
10003,"Bemelmans Bar","Valeria Zamora",6/18/2017,23:58:00
10004,7B,"Valerie Brooks",10/5/2018,22:58:00
10005,"Old Town Bar","Valerie Brooks",5/12/2017,23:58:00
10006,Mayahuel,"Valerie Brooks",10/16/2018,24:58:00
10007,"Connolly's Bar","Valerie Brooks",1/11/2018,21:58:00
10008,"Pegu Club","Valerie Brooks",11/17/2017,23:58:00
10009,"Clover Club","Valerie Brooks",9/16/2018,22:58:00
1001,"Pegu Club","Kimberly English",9/19/2017,24:58:00
10010,"The Dead Rabbit","Agnes Chung",9/24/2017,22:58:00
10011,"The Wayland","Bertram Kaiser",11/14/2018,21:58:00
10012,"Ghost Donkey","Valerie Fletcher",5/9/2018,21:58:00
10013,Torst,"Valerie Fletcher",4/20/2018,23:58:00
10014,"ABC Beer Co.","Valerie Fletcher",6/9/2018,22:58:00
10015,Leyenda,"Valerie Lloyd",7/23/2018,24:58:00
10016,"The Counting Room","Valerie Lloyd",9/19/2018,21:58:00
10017,"Aldo Sohm Wine Bar","Valerie Perry",6/4/2018,22:58:00
10018,"Blue Bar","Valerie Perry",6/17/2017,23:58:00
10019,Donna,"Valerie Perry",8/13/2017,24:58:00
10020,"Lee's Tavern","Valerie Perry",7/23/2018,24:58:00
10021,"The Wayland","Bertram York",4/15/2017,22:58:00
10022,"Broken Shaker","Valerie Wang",2/7/2017,21:58:00
10023,Mace,"Valerie Wang",1/22/2018,21:58:00
10024,"Copper & Oak","Valerie Wang",3/16/2018,22:58:00
10025,"The Up & Up","Valerie Wang",8/9/2017,23:58:00
10026,"Employees Only","Valerie Wang",7/17/2018,24:58:00
10027,"KGB Bar","Valerie Wise",8/26/2018,21:58:00
10029,"Raines Law Room","Valerie Wise",10/6/2017,21:58:00
1003,Mona's,"Kimberly Osborn",10/26/2018,21:58:00
10030,Mayahuel,"Valerie Wise",8/16/2018,23:58:00
10032,"Pegu Club","Valerie Wise",5/19/2018,21:58:00
10033,"Blue Bar","Valerie Wise",9/21/2017,23:58:00
10034,Julius',"Vance Golden",4/6/2017,22:58:00
10035,"The Counting Room","Vance Golden",4/23/2017,21:58:00
10036,Leyenda,"Vance Golden",2/11/2017,23:58:00
10037,"Spring Lounge","Vance Simpson",1/29/2018,22:58:00
10038,"Pegu Club","Vance Simpson",9/12/2017,24:58:00
10039,"Spring Lounge","Vance Simpson",1/24/2017,23:58:00
1004,"Bronx Alehouse","Annmarie Washington",3/16/2018,24:58:00
10040,"Blue Bar","Vance Simpson",7/1/2017,21:58:00
10041,Leyenda,"Vance Tyler",7/29/2018,22:58:00
10042,"Raines Law Room","Beryl Mooney",7/12/2018,23:58:00
10043,"Employees Only","Vance Tyler",1/27/2018,23:58:00
10044,Julius',"Vance Tyler",9/19/2017,24:58:00
10045,"Rose Bar","Vance Tyler",9/17/2017,22:58:00
1005,"Spring Lounge","Kimberly Osborn",9/24/2017,21:58:00
1006,Donna,"Kimberly Osborn",7/18/2017,23:58:00
1007,"Raines Law Room","Kimberly Osborn",4/23/2018,22:58:00
1008,"Dear Irving","Kimberly Osborn",4/6/2017,23:58:00
1009,Killmeyer's,"Kimberly Phelps",7/24/2017,24:58:00
101,"Dear Irving","Josiah Dawson",1/16/2017,23:58:00
1010,"Spring Lounge","Kimberly Phelps",8/23/2017,21:58:00
1011,"Clover Club","Kimberly Phelps",5/25/2017,22:58:00
1012,"Old Town Bar","Kimberly Phelps",5/7/2018,22:58:00
1013,"Blue Bar","Kimberly Shaw",6/11/2018,22:58:00
1014,"Bemelmans Bar","Kimberly Shaw",8/9/2018,24:58:00
1015,"The Up & Up","Anthony Gentry",10/6/2017,22:58:00
1017,Mayahuel,"King Bautista",8/15/2017,23:58:00
1018,Mona's,"King Bautista",7/14/2017,23:58:00
1019,"Townhouse of New York","Kirby Bean",10/3/2018,23:58:00
102,"KGB Bar","Josiah Dawson",2/8/2018,23:58:00
1020,PDT,"Kirby Bean",6/12/2018,21:58:00
1021,"Dear Irving","Kirby Bean",10/29/2018,23:58:00
1022,Killmeyer's,"Kirby Bean",3/29/2017,21:58:00
1023,"Clover Club","Kirby Coffey",1/15/2018,22:58:00
1024,"Blue Bar","Kirby Coffey",6/7/2018,21:58:00
1025,"Lee's Tavern","Kirby Price",8/21/2018,23:58:00
1026,"Keats Bar","Anthony Gentry",1/1/2017,21:58:00
1029,"Blue Bar","Kirby Price",2/16/2017,23:58:00
103,"Maison Premiere","Anibal Pearson",11/4/2018,23:58:00
1030,"Blue Bar","Kirby Price",8/11/2018,22:58:00
1031,Barcade,"Kirby Price",8/25/2018,22:58:00
1032,"Bemelmans Bar","Kirk Golden",6/3/2018,24:58:00
1033,"Spring Lounge","Kirk Golden",4/21/2018,21:58:00
1034,Barcade,"Kirk Golden",3/19/2017,23:58:00
1035,"Dear Irving","Kirk Waters",7/12/2018,24:58:00
1036,"Pegu Club","Kirk Waters",8/30/2018,24:58:00
1037,Killmeyer's,"Anthony Richmond",3/9/2017,23:58:00
1038,"Clover Club","Kirk Waters",9/2/2017,23:58:00
1039,Donna,"Kirk Waters",3/8/2017,24:58:00
104,"Bemelmans Bar","Josiah Dawson",7/7/2018,22:58:00
1041,"Old Town Bar","Kirk Waters",11/9/2017,23:58:00
1042,"Pegu Club","Kirsten Vargas",10/26/2018,22:58:00
1043,"Dear Irving","Kirsten Vargas",7/8/2018,23:58:00
1044,"Dear Irving","Kirsten Vargas",3/11/2018,22:58:00
1045,"Clover Club","Kirsten Vargas",9/17/2018,23:58:00
1046,Mayahuel,"Kirsten Vargas",2/16/2017,24:58:00
1047,PDT,"Kirsten Vazquez",5/16/2017,24:58:00
1048,"KGB Bar","Anthony Richmond",10/3/2018,21:58:00
1049,"Aldo Sohm Wine Bar","Kirsten Vazquez",7/5/2018,22:58:00
105,"Ghost Donkey","Josiah Mcgrath",9/14/2017,24:58:00
1050,"KGB Bar","Kirsten Vazquez",1/24/2017,23:58:00
1051,"Spring Lounge","Kirsten Vazquez",3/25/2018,21:58:00
1052,PDT,"Kirsten Vazquez",8/9/2017,21:58:00
1053,"Clover Club","Kitty Bean",9/14/2018,22:58:00
1054,"Old Town Bar","Kitty Bean",10/17/2017,22:58:00
1055,"Spring Lounge","Kitty Bean",2/23/2018,22:58:00
1056,Donna,"Kitty Bean",10/3/2018,21:58:00
1057,Mona's,"Kitty Bean",6/24/2018,23:58:00
1058,"Pegu Club","Kitty Hughes",11/3/2018,23:58:00
1059,"Aldo Sohm Wine Bar","Anthony Richmond",11/10/2017,23:58:00
106,"Death & Company","Josiah Mcgrath",7/5/2018,24:58:00
1060,PDT,"Kitty Hughes",2/14/2018,21:58:00
1061,"Spring Lounge","Kitty Hughes",2/14/2018,22:58:00
1062,"The Wayland","Kitty Hughes",3/2/2018,24:58:00
1063,"Dear Irving","Kitty Pugh",2/16/2018,22:58:00
1064,Barcade,"Kitty Pugh",5/29/2018,21:58:00
1065,"Dear Irving","Kitty Pugh",4/9/2017,22:58:00
1066,PDT,"Korey Mccullough",11/13/2017,22:58:00
1067,Mona's,"Korey Mccullough",10/24/2018,22:58:00
1069,Mona's,"Korey Mccullough",2/25/2017,21:58:00
107,"Angel's Share","Josiah Mcgrath",2/12/2018,21:58:00
1070,"Clover Club","Anthony Richmond",7/6/2018,23:58:00
1071,"Aldo Sohm Wine Bar","Korey Mccullough",3/5/2018,23:58:00
1072,Donna,"Korey Mccullough",9/9/2017,23:58:00
1073,7B,"Korey Vargas",1/30/2017,22:58:00
1074,"Dear Irving","Korey Vargas",4/21/2017,21:58:00
1075,"Raines Law Room","Korey Vargas",3/11/2017,22:58:00
1076,Barcade,"Korey Vargas",8/7/2017,21:58:00
1077,Donna,"Korey Vargas",5/8/2017,23:58:00
1078,PDT,"Korey Vargas",4/19/2017,21:58:00
1079,"Blue Bar","Kornelia White",2/19/2018,22:58:00
108,LENA,"Josiah Mcgrath",1/27/2018,24:58:00
1080,"Bemelmans Bar","Kornelia White",5/24/2018,23:58:00
1081,PDT,"Antione Cervantes",3/24/2018,21:58:00
1082,"The Wayland","Kory Barrett",3/13/2017,22:58:00
1083,"Lee's Tavern","Kory Barrett",11/25/2018,24:58:00
1084,Boxer,"Kory Estes",5/15/2017,24:58:00
1085,Dante,"Kory Estes",4/19/2018,23:58:00
1086,"Aldo Sohm Wine Bar","Kory Hendrix",1/18/2018,24:58:00
1087,"Aldo Sohm Wine Bar","Kory Hendrix",9/17/2017,22:58:00
1088,Mayahuel,"Kory Hendrix",8/16/2017,22:58:00
109,BlackTail,"Josiah Mcgrath",4/1/2018,21:58:00
1090,"The 13th Step","Kory Mcknight",7/23/2018,22:58:00
1091,"The Long Island Bar","Kory Mcknight",10/12/2017,22:58:00
1092,Barcade,"Antione Cervantes",1/12/2017,21:58:00
1093,"The Ship","Kory Mcknight",1/7/2018,22:58:00
1095,"Holiday Cocktail Lounge","Kory Mcknight",11/24/2017,23:58:00
1096,Bua,"Kory Mcknight",9/4/2018,24:58:00
1097,"The Iron Horse Nyc","Kraig Guerra",3/22/2017,21:58:00
1098,"Dutch Kills","Kraig Guerra",6/22/2017,24:58:00
1099,"Phoenix Bar","Kraig Guerra",7/13/2018,21:58:00
11,"Holiday Cocktail Lounge","Jose Buck",5/25/2017,21:58:00
110,Primo's,"Josie Allison",11/1/2017,21:58:00
1100,"Pouring Ribbons","Kraig Guerra",9/10/2018,22:58:00
