drinker,bar
"Aairah Salazar","169 Bar"
"Aairah Salazar",7B
"Aairah Salazar","Old Town Bar"
"Aariz Nieves","Lee's Tavern"
"Aariz Nieves","Spring Lounge"
"Aaron Savage",Bua
"Aaron Savage","The Long Island Bar"
"Abdallah Donaldson",Nowhere
"Abdallah Donaldson",Primo's
"Abdallah Donaldson","Ty Bar"
"Abdul Velasquez","Connolly's Bar"
"Abdur-Rahman Fleming","Bar Goto"
"Abdur-Rahman Fleming","The Counting Room"
"Abdur-Rahman Fleming","The Honeywell"
"Abe Bartlett","Connolly's Bar"
"Abe Bartlett",Donna
"Abe Bartlett",Mayahuel
"Abel Watkins","King Cole Bar"
"Abel Watkins","The Pool Lounge"
"Abigail Gates","Please Don't Tell"
"Abigail Gates",Torst
"Abraham Hopkins","Lee's Tavern"
"Abraham Hopkins","Old Town Bar"
"Abraham Hopkins","Spring Lounge"
"Acacia Beltran",Mona's
"Ada Daniels","Beauty Bar"
"Ada Daniels","The Central Bar"
"Ada Daniels","The Ship"
"Ada Daniels","Ty Bar"
"Adalberto Reese",Donna
"Adalberto Reese","KGB Bar"
"Adalberto Rhodes","Blue Bar"
"Adalberto Rhodes","Raines Law Room"
"Adam Beck","Angel's Share"
"Adam Beck","Zinc Bar"
"Adam Wilcox","Bar Nine"
"Adam Wilcox",Julius'
"Adam Wilcox","The Counting Room"
"Adan Duarte",Killmeyer's
"Adan Sawyer","Clockwork Bar"
"Adan Sawyer","Jimmy's corner"
"Addie Flores","Clover Club"
"Addie Flores","Connolly's Bar"
"Addie Flores",Mayahuel
"Adela Ashton","Pegu Club"
"Adela Hurley",Mayahuel
"Adela Hurley","Spring Lounge"
"Adele Best","Dead Rabbit"
"Adele Best",Primo's
"Adele Sanchez",Apotheke
"Adele Sanchez","Blind Tiger Ale House"
"Adele Sanchez","Little Branch"
"Adele Velasquez","Death & Company"
"Adele Velasquez","Dutch Kills"
"Adele Velasquez","Zinc Bar"
"Adeline Davila","Dear Irving"
"Adeline Davila",Mona's
"Adeline Davila","The Wayland"
"Adeline Glover","The Up & Up"
"Adeline Glover","Tonic Bar"
"Adeline Richmond",7B
"Adeline Richmond",Barcade
"Adeline Richmond","Clover Club"
"Adolfo Odonnell","Blind Tiger Ale House"
"Adolfo Odonnell",Leyenda
"Adolph Ellison","Aldo Sohm Wine Bar"
"Adolph Ellison","Bemelmans Bar"
"Adolph Ellison",Mayahuel
"Adrian Green","Dutch Kills"
"Adrian Green",LENA
"Adrian Green","The Iron Horse Nyc"
"Adriana Marsh",Attaboy
"Adriana Marsh","Beauty Bar"
"Adriana Marsh","The 13th Step"
"Adriana Nunez","Connolly's Bar"
"Adriana Nunez","The Wayland"
"Adriana Nunez","Townhouse of New York"
"Adriana Schultz","Connolly's Bar"
"Adriana Schultz","Dear Irving"
"Adriana Schultz","Spring Lounge"
"Adrienne Frazier",Apotheke
"Adrienne Frazier",Boxer
"Adrienne Gay","The Counting Room"
"Adrienne Morales","Clover Club"
"Adrienne Morales",Killmeyer's
"Adrienne Morales",Mona's
"Adrienne Nixon","Lee's Tavern"
"Adrienne Nixon",Mayahuel
"Adrienne Nixon","Pegu Club"
"Adrienne Nixon","Townhouse of New York"
"Agnes Chung","Death & Company"
"Agnes Chung","Dutch Kills"
"Ahmed Dougherty",d.b.a.
"Ahmed Dougherty","Holiday Cocktail Lounge"
"Ahmed Dougherty","The 13th Step"
"Ahmed Waters","Spring Lounge"
